;;Numerical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical
ARN;PATH;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Numero de Inventario;Sufijo de Inventario;Species;ID Centro ;Fecha de entrada a cava;Fecha de ultima prueba
BGVCOL11030002;2109030103;2;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030002;2109030103;6;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030003;1001030101;3;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030003;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030004;1001030101;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030004;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030005;1001030101;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030005;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;1/05/2001 0:00
BGVCOL11030005;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/03/2003 0:00
BGVCOL11030006;1001030102;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;27/02/2014 0:00
BGVCOL11030006;1001030101;5;1;3.0;2;;0°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030006;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030007;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030007;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030008;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030008;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030009;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030009;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030010;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030010;1001010102;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030011;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030011;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030012;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030012;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030013;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
