,Accession_id,Inventory_id,ARN,Especie,Cantidad_De_Semilla,Estado_De_Disponibilidad,Numero_De_Inventario,Cava,Fecha_De_Origen,Fecha_ultima_Prueba,Porcentaje_Normal,Fecha_De_Entrada_Cava
0,1,5781,BGVCOL15060006,Solanum tuberosum subsp. andigena,3,5,1.0,0°C B-1,1947-02-28 00:00:00,2004-12-01 00:00:00,3.0,0.0
1,1,5782,BGVCOL15060006,Solanum tuberosum subsp. andigena,3,5,2.0,0°C B-1,1947-02-28 00:00:00,1999-09-14 00:00:00,3.0,0.0
2,1,5782,BGVCOL15060006,Solanum tuberosum subsp. andigena,3,5,2.0,0°C B-1,1947-02-28 00:00:00,2004-09-14 00:00:00,3.0,0.0
3,1,5783,BGVCOL15060006,Solanum tuberosum subsp. andigena,3,5,2.0,­-20°C B-1,1947-02-28 00:00:00,1999-09-14 00:00:00,3.0,0.0
4,2,5784,BGVCOL15060013,Solanum tuberosum subsp. andigena,2,15,1.0,0°C B-1,1947-03-01 00:00:00,2010-12-14 00:00:00,3.0,0.0
5,2,5785,BGVCOL15060013,Solanum tuberosum subsp. andigena,2,5,2.0,0°C B-1,1947-03-01 00:00:00,1999-12-27 00:00:00,3.0,0.0
6,2,5786,BGVCOL15060013,Solanum tuberosum subsp. andigena,1,11,2.0,0°C B-2,1947-03-01 00:00:00,1999-12-27 00:00:00,3.0,0.0
7,2,5787,BGVCOL15060013,Solanum tuberosum subsp. andigena,2,15,1.0,­-20°C B-1,1947-03-01 00:00:00,2010-12-14 00:00:00,3.0,0.0
8,3,5788,BGVCOL15060016,Solanum tuberosum subsp. andigena,1,15,1.0,0°C B-1,1947-03-01 00:00:00,2010-12-14 00:00:00,3.0,0.0
9,3,5789,BGVCOL15060016,Solanum tuberosum subsp. andigena,3,5,2.0,0°C B-1,1947-03-01 00:00:00,2004-12-01 00:00:00,2.0,0.0
10,3,5790,BGVCOL15060016,Solanum tuberosum subsp. andigena,2,13,3.0,0°C B-1,1947-03-01 00:00:00,2004-09-14 00:00:00,1.0,0.0
11,3,5790,BGVCOL15060016,Solanum tuberosum subsp. andigena,2,13,3.0,0°C B-1,1947-03-01 00:00:00,1985-01-09 00:00:00,2.0,0.0
12,4,5791,BGVCOL15060021,Solanum tuberosum subsp. andigena,3,5,1.0,0°C B-1,1947-03-26 00:00:00,2004-12-01 00:00:00,1.0,0.0
13,4,5791,BGVCOL15060021,Solanum tuberosum subsp. andigena,3,5,1.0,0°C B-1,1947-03-26 00:00:00,2012-03-13 00:00:00,1.0,0.0
14,4,5792,BGVCOL15060021,Solanum tuberosum subsp. andigena,2,5,2.0,0°C B-1,1947-03-26 00:00:00,1996-08-18 00:00:00,3.0,0.0
15,4,5792,BGVCOL15060021,Solanum tuberosum subsp. andigena,2,5,2.0,0°C B-1,1947-03-26 00:00:00,1985-01-09 00:00:00,2.0,0.0
