,ARN,PATH,Use/yr,Estado de Disponibilidad,Germinacion,Cantidad de Semillas,Numero_De_Inventario,Cava,Especie,Id del Centro,Longevidad,Ultimo Monitoreo
0,BGVCOL15060006,171840.0,0.8,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
1,BGVCOL15060006,171840.0,1.61,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
2,BGVCOL15060006,171840.0,4.58,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
3,BGVCOL15060006,171820.0,6.14,5,3.0,3,2.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
4,BGVCOL15060013,171840.0,2.16,15,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
5,BGVCOL15060013,171840.0,5.12,5,3.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
6,BGVCOL15060013,171840.0,8.72,11,3.0,1,2.0,0°C B-2,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
7,BGVCOL15060013,171820.0,8.07,15,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
8,BGVCOL15060016,171840.0,5.03,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
9,BGVCOL15060016,171840.0,9.5,5,2.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
10,BGVCOL15060016,171840.0,2.41,13,1.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
11,BGVCOL15060016,171840.0,7.01,13,2.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
12,BGVCOL15060021,171840.0,9.2,5,1.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
13,BGVCOL15060021,171840.0,2.35,5,1.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
14,BGVCOL15060021,171840.0,0.29,5,3.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
15,BGVCOL15060021,171840.0,1.81,5,2.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
16,BGVCOL15060025,171840.0,9.67,5,1.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
17,BGVCOL15060025,171840.0,1.19,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
18,BGVCOL15060025,171820.0,2.39,5,3.0,3,2.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
19,BGVCOL15060027,171840.0,2.16,15,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
20,BGVCOL15060027,171840.0,8.7,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
21,BGVCOL15060027,171840.0,2.24,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
22,BGVCOL15060027,171840.0,1.97,5,2.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
23,BGVCOL15060039,171840.0,6.77,5,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
24,BGVCOL15060039,171840.0,8.18,5,1.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
25,BGVCOL15060039,171840.0,7.24,5,1.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
26,BGVCOL15060039,171840.0,4.58,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
27,BGVCOL15060045,171840.0,2.46,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
28,BGVCOL15060050,171840.0,4.78,5,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
29,BGVCOL15060056,171840.0,1.08,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
30,BGVCOL15060056,171840.0,5.75,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
31,BGVCOL15060056,171840.0,2.41,5,1.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
32,BGVCOL15060063,171840.0,0.33,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
33,BGVCOL15060063,171840.0,6.71,2,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
34,BGVCOL15060063,171820.0,1.98,5,3.0,1,2.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
35,BGVCOL15060063,171840.0,2.73,6,2.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
36,BGVCOL15060070,171840.0,1.75,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
37,BGVCOL15060070,171840.0,3.6,5,3.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
38,BGVCOL15060070,171840.0,1.93,5,2.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
39,BGVCOL15060081,171840.0,3.23,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
40,BGVCOL15060081,171840.0,5.41,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
41,BGVCOL15060082,171840.0,8.55,15,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
42,BGVCOL15060082,171840.0,9.36,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
43,BGVCOL15060082,171840.0,2.1,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
44,BGVCOL15060085,171840.0,2.5,8,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
45,BGVCOL15060085,171820.0,2.08,5,2.0,3,3.0,-20° B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
46,BGVCOL15060087,171840.0,2.34,5,2.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
47,BGVCOL15060087,171840.0,3.17,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
48,BGVCOL15060090,171840.0,7.24,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
49,BGVCOL15060090,171840.0,8.45,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
50,BGVCOL15060090,171840.0,0.76,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
51,BGVCOL15060090,171820.0,5.02,15,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
52,BGVCOL15060097,171840.0,0.88,13,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
53,BGVCOL15060097,171840.0,9.21,13,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
54,BGVCOL15060100,171840.0,3.17,15,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
55,BGVCOL15060100,171820.0,1.54,15,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
56,BGVCOL15060101,171840.0,1.1,15,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
57,BGVCOL15060101,171840.0,7.05,5,2.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
58,BGVCOL15060101,171840.0,5.3,5,3.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
59,BGVCOL15060101,171820.0,2.23,15,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
60,BGVCOL15060102,171840.0,2.84,15,2.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
61,BGVCOL15060102,171840.0,5.97,5,2.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
62,BGVCOL15060102,171820.0,3.01,15,2.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
63,BGVCOL15060110,171840.0,7.55,15,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
64,BGVCOL15060110,171840.0,2.24,5,2.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
65,BGVCOL15060110,171840.0,9.75,5,3.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
66,BGVCOL15060110,171820.0,6.71,15,3.0,3,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
67,BGVCOL15060112,171840.0,1.51,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
68,BGVCOL15060112,171840.0,5.13,5,1.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
69,BGVCOL15060114,171840.0,0.61,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
70,BGVCOL15060114,171840.0,2.98,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
71,BGVCOL15060117,171840.0,5.16,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
72,BGVCOL15060117,171840.0,3.35,5,1.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
73,BGVCOL15060120,171840.0,4.82,5,2.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
74,BGVCOL15060120,171840.0,3.08,5,2.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
75,BGVCOL15060120,171840.0,5.62,5,3.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
76,BGVCOL15060120,171820.0,5.65,5,2.0,3,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
77,BGVCOL15060121,171840.0,7.02,5,1.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
78,BGVCOL15060121,171840.0,3.57,5,2.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
79,BGVCOL15060121,171840.0,5.39,5,3.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
80,BGVCOL15060121,171820.0,7.04,5,1.0,3,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
81,BGVCOL15060122,171840.0,0.9,15,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
82,BGVCOL15060122,171840.0,3.34,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
83,BGVCOL15060122,171840.0,7.26,5,1.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
84,BGVCOL15060122,171820.0,6.68,15,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
85,BGVCOL15060133,171840.0,7.33,15,2.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
86,BGVCOL15060133,171840.0,1.99,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
87,BGVCOL15060133,171840.0,8.82,5,3.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
88,BGVCOL15060133,171820.0,6.19,15,2.0,3,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
89,BGVCOL15060138,171840.0,5.53,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
90,BGVCOL15060142,171840.0,1.06,15,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
91,BGVCOL15060142,171840.0,8.89,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
92,BGVCOL15060160,171840.0,0.64,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
93,BGVCOL15060160,171840.0,2.88,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
