PATH;Group
10;Soya
1001;Glycine max
100100;Cava Desconocida
10010001;Ortodoxas
1001000101;Bajo
1001000102;Medio
1001000103;Alto
10010002;Intermedia
1001000201;Bajo
1001000202;Medio
1001000203;Alto
10010003;Recalcitrantes
1001000301;Bajo
1001000302;Medio
1001000303;Alto
100101;M20GC
10010101;Ortodoxas
1001010101;Bajo
1001010102;Medio
1001010103;Alto
10010102;Intermedia
1001010201;Bajo
1001010202;Medio
1001010203;Alto
10010103;Recalcitrantes
1001010301;Bajo
1001010302;Medio
1001010303;Alto
100102;M10GC
10010201;Ortodoxas
1001020101;Bajo
1001020102;Medio
1001020103;Alto
10010202;Intermedia
1001020201;Bajo
1001020202;Medio
1001020203;Alto
10010203;Recalcitrantes
1001020301;Bajo
1001020302;Medio
1001020303;Alto
100103;4GC
10010301;Ortodoxas
1001030101;Bajo
1001030102;Medio
1001030103;Alto
10010302;Intermedia
1001030201;Bajo
1001030202;Medio
1001030203;Alto
10010303;Recalcitrantes
1001030301;Bajo
1001030302;Medio
1001030303;Alto
13;Cebada
1301;Hordeum vulgare
130100;Cava Desconocida
13010001;Ortodoxas
1301000101;Bajo
1301000102;Medio
1301000103;Alto
13010002;Intermedia
1301000201;Bajo
1301000202;Medio
1301000203;Alto
13010003;Recalcitrantes
1301000301;Bajo
1301000302;Medio
1301000303;Alto
130101;M20GC
13010101;Ortodoxas
1301010101;Bajo
1301010102;Medio
1301010103;Alto
13010102;Intermedia
1301010201;Bajo
1301010202;Medio
1301010203;Alto
13010103;Recalcitrantes
1301010301;Bajo
1301010302;Medio
1301010303;Alto
130102;M10GC
13010201;Ortodoxas
1301020101;Bajo
1301020102;Medio
1301020103;Alto
13010202;Intermedia
1301020201;Bajo
1301020202;Medio
1301020203;Alto
13010203;Recalcitrantes
1301020301;Bajo
1301020302;Medio
1301020303;Alto
130103;4GC
13010301;Ortodoxas
1301030101;Bajo
1301030102;Medio
1301030103;Alto
13010302;Intermedia
1301030201;Bajo
1301030202;Medio
1301030203;Alto
13010303;Recalcitrantes
1301030301;Bajo
1301030302;Medio
1301030303;Alto
11;Arroz
1101;Oryza sativa
110100;Cava Desconocida
11010001;Ortodoxas
1101000101;Bajo
1101000102;Medio
1101000103;Alto
11010002;Intermedia
1101000201;Bajo
1101000202;Medio
1101000203;Alto
11010003;Recalcitrantes
1101000301;Bajo
1101000302;Medio
1101000303;Alto
110101;M20GC
11010101;Ortodoxas
1101010101;Bajo
1101010102;Medio
1101010103;Alto
11010102;Intermedia
1101010201;Bajo
1101010202;Medio
1101010203;Alto
11010103;Recalcitrantes
1101010301;Bajo
1101010302;Medio
1101010303;Alto
110102;M10GC
11010201;Ortodoxas
1101020101;Bajo
1101020102;Medio
1101020103;Alto
11010202;Intermedia
1101020201;Bajo
1101020202;Medio
1101020203;Alto
11010203;Recalcitrantes
1101020301;Bajo
1101020302;Medio
1101020303;Alto
110103;4GC
11010301;Ortodoxas
1101030101;Bajo
1101030102;Medio
1101030103;Alto
11010302;Intermedia
1101030201;Bajo
1101030202;Medio
1101030203;Alto
11010303;Recalcitrantes
1101030301;Bajo
1101030302;Medio
1101030303;Alto
18;Passifloras
1801;Passiflora adenopoda
180100;Cava Desconocida
18010001;Ortodoxas
1801000101;Bajo
1801000102;Medio
1801000103;Alto
18010002;Intermedia
1801000201;Bajo
1801000202;Medio
1801000203;Alto
18010003;Recalcitrantes
1801000301;Bajo
1801000302;Medio
1801000303;Alto
180101;M20GC
18010101;Ortodoxas
1801010101;Bajo
1801010102;Medio
1801010103;Alto
18010102;Intermedia
1801010201;Bajo
1801010202;Medio
1801010203;Alto
18010103;Recalcitrantes
1801010301;Bajo
1801010302;Medio
1801010303;Alto
180102;M10GC
18010201;Ortodoxas
1801020101;Bajo
1801020102;Medio
1801020103;Alto
18010202;Intermedia
1801020201;Bajo
1801020202;Medio
1801020203;Alto
18010203;Recalcitrantes
1801020301;Bajo
1801020302;Medio
1801020303;Alto
180103;4GC
18010301;Ortodoxas
1801030101;Bajo
1801030102;Medio
1801030103;Alto
18010302;Intermedia
1801030201;Bajo
1801030202;Medio
1801030203;Alto
18010303;Recalcitrantes
1801030301;Bajo
1801030302;Medio
1801030303;Alto
1802;Passiflora ambigua
180200;Cava Desconocida
18020001;Ortodoxas
1802000101;Bajo
1802000102;Medio
1802000103;Alto
18020002;Intermedia
1802000201;Bajo
1802000202;Medio
1802000203;Alto
18020003;Recalcitrantes
1802000301;Bajo
1802000302;Medio
1802000303;Alto
180201;M20GC
18020101;Ortodoxas
1802010101;Bajo
1802010102;Medio
1802010103;Alto
18020102;Intermedia
1802010201;Bajo
1802010202;Medio
1802010203;Alto
18020103;Recalcitrantes
1802010301;Bajo
1802010302;Medio
1802010303;Alto
180202;M10GC
18020201;Ortodoxas
1802020101;Bajo
1802020102;Medio
1802020103;Alto
18020202;Intermedia
1802020201;Bajo
1802020202;Medio
1802020203;Alto
18020203;Recalcitrantes
1802020301;Bajo
1802020302;Medio
1802020303;Alto
180203;4GC
18020301;Ortodoxas
1802030101;Bajo
1802030102;Medio
1802030103;Alto
18020302;Intermedia
1802030201;Bajo
1802030202;Medio
1802030203;Alto
18020303;Recalcitrantes
1802030301;Bajo
1802030302;Medio
1802030303;Alto
1803;Passiflora caerulea
180300;Cava Desconocida
18030001;Ortodoxas
1803000101;Bajo
1803000102;Medio
1803000103;Alto
18030002;Intermedia
1803000201;Bajo
1803000202;Medio
1803000203;Alto
18030003;Recalcitrantes
1803000301;Bajo
1803000302;Medio
1803000303;Alto
180301;M20GC
18030101;Ortodoxas
1803010101;Bajo
1803010102;Medio
1803010103;Alto
18030102;Intermedia
1803010201;Bajo
1803010202;Medio
1803010203;Alto
18030103;Recalcitrantes
1803010301;Bajo
1803010302;Medio
1803010303;Alto
180302;M10GC
18030201;Ortodoxas
1803020101;Bajo
1803020102;Medio
1803020103;Alto
18030202;Intermedia
1803020201;Bajo
1803020202;Medio
1803020203;Alto
18030203;Recalcitrantes
1803020301;Bajo
1803020302;Medio
1803020303;Alto
180303;4GC
18030301;Ortodoxas
1803030101;Bajo
1803030102;Medio
1803030103;Alto
18030302;Intermedia
1803030201;Bajo
1803030202;Medio
1803030203;Alto
18030303;Recalcitrantes
1803030301;Bajo
1803030302;Medio
1803030303;Alto
1804;Passiflora capsularis
180400;Cava Desconocida
18040001;Ortodoxas
1804000101;Bajo
1804000102;Medio
1804000103;Alto
18040002;Intermedia
1804000201;Bajo
1804000202;Medio
1804000203;Alto
18040003;Recalcitrantes
1804000301;Bajo
1804000302;Medio
1804000303;Alto
180401;M20GC
18040101;Ortodoxas
1804010101;Bajo
1804010102;Medio
1804010103;Alto
18040102;Intermedia
1804010201;Bajo
1804010202;Medio
1804010203;Alto
18040103;Recalcitrantes
1804010301;Bajo
1804010302;Medio
1804010303;Alto
180402;M10GC
18040201;Ortodoxas
1804020101;Bajo
1804020102;Medio
1804020103;Alto
18040202;Intermedia
1804020201;Bajo
1804020202;Medio
1804020203;Alto
18040203;Recalcitrantes
1804020301;Bajo
