CNR;ParentCNR;Cat;Count;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Use/yr.NA;Estado de disponibilidad.NA;Clases de gerninacion.NA;Cantida De Semillas.NA
10;Leguminous crops;Soya;2575;5;4.09;2.57;1.5;0;0;0;0
1001;10;Glycine max;2575;5;4.09;2.57;1.5;0;0;0;0
100101;1001;M20GC;1107;5;2.2;2.74;1.82;0;0;0;0
10010101;100101;Ortodoxas;1107;5;2.2;2.74;1.82;0;0;0;0
1001010101;10010101;Bajo;55;5;2.69;2.49;1.13;0;0;0;0
1001010102;10010101;Medio;1050;5;2.18;2.75;1.86;0;0;0;0
1001010103;10010101;Alto;2;5;1;3;3;0;0;0;0
100103;1001;4GC;1468;5;5.51;2.44;1.26;0;0;0;0
10010301;100103;Ortodoxas;1468;5;5.51;2.44;1.26;0;0;0;0
1001030101;10010301;Bajo;1223;5;5.7;2.55;1.17;0;0;0;0
1001030102;10010301;Medio;245;5;4.6;1.89;1.72;0;0;0;0
13;Cereals;Cebada;294;4.74;2.17;2.86;1.28;0;0;0;0
1301;13;Hordeum vulgare;294;4.74;2.17;2.86;1.28;0;0;0;0
130101;1301;M20GC;160;4.65;2.97;2.8;1.3;0;0;0;0
13010101;130101;Ortodoxas;160;4.65;2.97;2.8;1.3;0;0;0;0
1301010101;13010101;Bajo;112;4.64;2.89;2.82;1;0;0;0;0
1301010102;13010101;Medio;48;4.67;3.15;2.75;2;0;0;0;0
130103;1301;4GC;134;4.85;1.21;2.94;1.25;0;0;0;0
13010301;130103;Ortodoxas;134;4.85;1.21;2.94;1.25;0;0;0;0
1301030101;13010301;Bajo;108;4.81;1.26;2.95;1;0;0;0;0
1301030102;13010301;Medio;19;5;1;2.89;2.26;0;0;0;0
1301030103;13010301;Alto;7;5;1;2.86;2.29;0;0;0;0
11;Cereals;Arroz;744;5;4.76;2.35;1.88;0;0;0;0
1101;11;Oryza sativa;744;5;4.76;2.35;1.88;0;0;0;0
110101;1101;M20GC;145;5;4.41;2.77;1.97;0;0;0;0
11010101;110101;Ortodoxas;145;5;4.41;2.77;1.97;0;0;0;0
1101010101;11010101;Bajo;27;5;5.15;2.78;1.74;0;0;0;0
1101010102;11010101;Medio;68;5;4.75;2.62;1.65;0;0;0;0
1101010103;11010101;Alto;50;5;3.56;2.96;2.54;0;0;0;0
110103;1101;4GC;599;5;4.85;2.26;1.86;0;0;0;0
11010301;110103;Ortodoxas;599;5;4.85;2.26;1.86;0;0;0;0
1101030101;11010301;Bajo;283;5;5.34;2.23;1.46;0;0;0;0
1101030102;11010301;Medio;144;5;4.57;2.31;1.77;0;0;0;0
1101030103;11010301;Alto;172;5;4.27;2.25;2.58;0;0;0;0
