;;Categorical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Numerical;Numerical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Numero_De_Inventario;Cava;Especie;Id del Centro;Longevidad;Ultimo Monitoreo
BGVCOL15060006;171840;9.74;5;3;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060006;171840;1.78;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060006;171840;7.2;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060006;171820;3.44;5;3;3;2;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060013;171840;6.16;15;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060013;171840;9.8;5;3;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060013;171840;27;11;3;1;2;0°C B-2;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060013;171820;3.14;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060016;171840;8.94;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060016;171840;5.64;5;2;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060016;171840;1.42;13;1;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060016;171840;3.26;13;2;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060021;171840;9.11;5;1;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060021;171840;22;5;1;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060021;171840;2.71;5;3;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060021;171840;5.95;5;2;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060025;171840;9.24;5;1;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060025;171840;9.32;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
