CNR;ParentCNR;Cat;Count;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Longevidad;Ultimo Monitoreo;Estado de Disponibilidad.NA;Germinacion.NA;Cantidad de Semillas.NA;Longevidad.NA;Ultimo Monitoreo.NA
16;Leguminous crops;Soya;2577;6.58;2.57;1.5;0;1;0;0;0;0;0
1610;16;Glycine max;2577;6.58;2.57;1.5;0;1;0;0;0;0;0
161020;1610;M20GC;1108;5.19;2.92;1.95;0;1;0;0;0;0;0
161040;1610;4GC;1469;7.63;2.31;1.17;0;1;0;0;0;0;0
11;Cereals;Cebada;294;9.73;2.86;1.28;0;1.54;0;0;0;0;0
1110;11;Hordeum vulgare;294;9.73;2.86;1.28;0;1.54;0;0;0;0;0
111020;1110;M20GC;160;13.64;2.8;1.3;0;2;0;0;0;0;0
111040;1110;4GC;134;5.06;2.94;1.25;0;1;0;0;0;0;0
10;Cereals;Arroz;744;8.98;2.35;1.88;0;1.77;0;0;0;0;0
1010;10;Oryza sativa;744;8.98;2.35;1.88;0;1.77;0;0;0;0;0
101020;1010;M20GC;145;5.2;2.91;2.14;0;1;0;0;0;0;0
101040;1010;4GC;599;9.89;2.22;1.81;0;1.96;0;0;0;0;0
15;Fruits and nuts;Passifloras;65;8.31;1.72;2.15;0;1;0;0;0;0;0
1510;15;Passiflora adenopoda;6;7.33;1.83;2.83;0;1;0;0;0;0;0
151040;1510;4GC;6;7.33;1.83;2.83;0;1;0;0;0;0;0
1511;15;Passiflora ambigua;1;5;2;1;0;1;0;0;0;0;0
151140;1511;4GC;1;5;2;1;0;1;0;0;0;0;0
1512;15;Passiflora caerulea;1;5;3;2;0;1;0;0;0;0;0
151240;1512;4GC;1;5;3;2;0;1;0;0;0;0;0
1513;15;Passiflora capsularis;2;8;1;3;0;1;0;0;0;0;0
151340;1513;4GC;2;8;1;3;0;1;0;0;0;0;0
1514;15;Passiflora cumbalenis;1;5;3;2;0;1;0;0;0;0;0
151440;1514;4GC;1;5;3;2;0;1;0;0;0;0;0
1515;15;Passiflora edulis;8;5.75;2.5;2.25;0;1;0;0;0;0;0
151540;1515;4GC;8;5.75;2.5;2.25;0;1;0;0;0;0;0
1516;15;Passilora edulis fo. Edulis;1;5;3;3;0;1;0;0;0;0;0
151640;1516;4GC;1;5;3;3;0;1;0;0;0;0;0
1517;15;Passiflora ligularis;10;11.5;1;1;0;1;0;0;0;0;0
151740;1517;4GC;10;11.5;1;1;0;1;0;0;0;0;0
1518;15;Passiflora maliformis;2;10.5;1;1.5;0;1;0;0;0;0;0
151840;1518;4GC;2;10.5;1;1.5;0;1;0;0;0;0;0
1519;15;Passiflora mixta;1;8;2;1;0;1;0;0;0;0;0
151940;1519;4GC;1;8;2;1;0;1;0;0;0;0;0
1520;15;Passiflora mollissima;4;9.25;1.25;1.5;0;1;0;0;0;0;0
152040;1520;4GC;4;9.25;1.25;1.5;0;1;0;0;0;0;0
1521;15;Passiflora sanguinolenta;1;8;1;3;0;1;0;0;0;0;0
152140;1521;4GC;1;8;1;3;0;1;0;0;0;0;0
1522;15;Passiflora sp;15;9.07;1.8;2.27;0;1;0;0;0;0;0
152240;1522;4GC;15;9.07;1.8;2.27;0;1;0;0;0;0;0
1523;15;Passiflora tarminiana;11;7.64;1.73;2.82;0;1;0;0;0;0;0
152340;1523;4GC;11;7.64;1.73;2.82;0;1;0;0;0;0;0
1524;15;Passiflora tripartita;1;5;2;3;0;1;0;0;0;0;0
152440;1524;4GC;1;5;2;3;0;1;0;0;0;0;0
14;Fruits and nuts;Mora;499;15;1.97;2.95;0;1.34;0;0;0;0;0
1410;14;Rubus adenotrichos;2;15;2;3;0;1.5;0;0;0;0;0
141030;1410;M10GC;2;15;2;3;0;1.5;0;0;0;0;0
1411;14;Rubus glaucus;414;15;1.98;2.98;0;1.33;0;0;0;0;0
141130;1411;M10GC;414;15;1.98;2.98;0;1.33;0;0;0;0;0
1412;14;Rubus idaeus;1;15;3;1;0;1;0;0;0;0;0
141230;1412;M10GC;1;15;3;1;0;1;0;0;0;0;0
1413;14;Rubus niveus;2;15;2;3;0;1.5;0;0;0;0;0
141330;1413;M10GC;2;15;2;3;0;1.5;0;0;0;0;0
1414;14;Rubus pallidus;10;15;2.2;3;0;1.5;0;0;0;0;0
141430;1414;M10GC;10;15;2.2;3;0;1.5;0;0;0;0;0
1415;14;Rubus peruvianus;38;15;1.66;3;0;1.29;0;0;0;0;0
